物理地址,date_create,v,a,power_factor,功率
521,2019/8/29 19:15,234.127566,10.87487781,96,246
521,2019/8/29 19:15,234.8973607,9.408602151,97,216
521,2019/8/29 19:30,233.6876833,11.44916911,97,261
361,2019/8/29 19:45,237.9032258,4.075024438,73,71
361,2019/8/29 20:00,238.5813783,3.757331378,92,82
361,2019/8/29 20:01,239.6077713,7.991202346,85,164
361,2019/8/29 20:15,238.7096774,2.865347019,80,54
361,2019/8/29 20:19,237.6832845,11.38807429,74,200
361,2019/8/29 20:20,238.2881232,11.40640274,89,242
361,2019/8/29 20:22,237.664956,11.23533724,77,206
361,2019/8/29 20:30,237.664956,11.23533724,77,206
361,2019/8/29 20:31,238.361437,10.77101662,77,197
417,2019/8/29 20:37,235.2822581,36.53164712,89,771
417,2019/8/29 20:43,237.7565982,46.5542522,58,648
417,2019/8/29 20:45,235.4105572,35.92069892,86,732
568,2019/8/29 20:59,233.0828446,1.585410557,82,30
24,2019/8/29 21:00,236.7668622,56.3844086,95,1276
568,2019/8/29 21:24,233.7426686,1.567082111,80,29
27,2019/8/29 21:30,224.4501466,7.471896383,96,161
334,2019/8/29 21:45,233.7243402,4.747067449,90,99
73,2019/8/29 22:00,235.8687683,5.617668622,89,118
75,2019/8/29 22:15,236.3269795,4.948680352,92,108
83,2019/8/29 22:30,224.2485337,15.40811339,92,320
130,2019/8/29 22:41,227.0894428,11.16813294,85,216
334,2019/8/29 22:45,234.0725806,6.940371457,94,154
36,2019/8/29 23:00,234.6041056,7.212243402,87,147
568,2019/8/29 23:14,234.952346,2.492668622,89,52
128,2019/8/29 23:15,228.6107038,2.708027859,94,58
128,2019/8/29 23:30,239.8093842,4.669171554,38,43
