,物理地址,date_create,v,a,power_factor,功率
0,521,2019/8/29 19:15,234.127566,10.87487781,96,246
1,521,2019/8/29 19:15,234.89736069999998,9.408602151,97,216
2,521,2019/8/29 19:30,233.6876833,11.44916911,97,261
3,361,2019/8/29 19:45,237.9032258,4.075024438,73,71
4,361,2019/8/29 20:00,238.58137830000004,3.757331378,92,82
5,361,2019/8/29 20:01,239.6077713,7.991202346000001,85,164
6,361,2019/8/29 20:15,238.70967740000003,2.8653470189999997,80,54
7,361,2019/8/29 20:19,237.6832845,11.38807429,74,200
8,361,2019/8/29 20:20,238.28812319999997,11.40640274,89,242
9,361,2019/8/29 20:22,237.66495600000002,11.23533724,77,206
10,361,2019/8/29 20:30,237.66495600000002,11.23533724,77,206
11,361,2019/8/29 20:31,238.36143700000002,10.77101662,77,197
12,417,2019/8/29 20:37,235.28225809999998,36.53164712,89,771
13,417,2019/8/29 20:43,237.75659819999998,46.55425220000001,58,648
14,417,2019/8/29 20:45,235.41055719999997,35.92069892,86,732
15,568,2019/8/29 20:59,233.0828446,1.5854105569999999,82,30
16,24,2019/8/29 21:00,236.7668622,56.3844086,95,1276
17,568,2019/8/29 21:24,233.74266859999997,1.567082111,80,29
18,27,2019/8/29 21:30,224.4501466,7.471896383,96,161
19,334,2019/8/29 21:45,233.72434019999997,4.747067448999999,90,99
20,73,2019/8/29 22:00,235.86876830000003,5.617668622,89,118
21,75,2019/8/29 22:15,236.3269795,4.948680352,92,108
22,83,2019/8/29 22:30,224.2485337,15.40811339,92,320
23,130,2019/8/29 22:41,227.08944280000003,11.16813294,85,216
24,334,2019/8/29 22:45,234.07258059999998,6.940371457,94,154
25,36,2019/8/29 23:00,234.6041056,7.212243402,87,147
26,568,2019/8/29 23:14,234.952346,2.492668622,89,52
27,128,2019/8/29 23:15,228.6107038,2.708027859,94,58
28,128,2019/8/29 23:30,239.80938419999998,4.669171554,38,43
